Date,Open,High,Low,Close,Adj Close,Volume
12/7/2020,241.339996,259.809998,241.339996,258.880005,258.880005,2330300
12/8/2020,259.380005,263.119995,254.619995,261.339996,261.339996,1271600
12/9/2020,262.799988,267.470001,249.600006,255.5,255.5,1182800
12/10/2020,252.759995,262.079987,251.75,260.470001,260.470001,839400
12/11/2020,260,264.790009,256,258.26001,258.26001,977300
12/14/2020,258.26001,262.369995,247.600006,250.970001,250.970001,1149600
12/15/2020,260.100006,268.970001,254.324997,256.040009,256.040009,1774700
12/16/2020,259.779999,261.779999,249,260.959991,260.959991,1396200
12/17/2020,264.089996,277.01001,260.690002,271.98999,271.98999,2110700
12/18/2020,272.5,273,262.320007,266.23999,266.23999,1571600
12/21/2020,262.329987,278.829987,261.25,278.600006,278.600006,1317000
12/22/2020,280,292.079987,278.899994,291.519989,291.519989,1593600
12/23/2020,292.76001,292.76001,265.799988,270,270,1861700
12/24/2020,272.440002,279,270.26001,274.709991,274.709991,564100
12/28/2020,273.420013,274.549988,245.326004,251.490005,251.490005,2333200
12/29/2020,253,253.050003,241.550003,250.509995,250.509995,1425200
12/30/2020,250.25,256.01001,248.585007,250.339996,250.339996,896500
12/31/2020,251,251,239.190002,239.539993,239.539993,1206900
1/4/2021,243.619995,243.619995,229.259995,236.270004,236.270004,2250200
1/5/2021,240,255.940002,237.25,255.580002,255.580002,1611100
1/6/2021,250.509995,257,243.039993,250.830002,250.830002,1397700
1/7/2021,256.320007,276.450012,256.209991,270.160004,270.160004,2051800
1/8/2021,273,279.600006,266.019989,278.440002,278.440002,1543200
1/11/2021,274.48999,279.5,265.709991,274.130005,274.130005,932300
1/12/2021,277.049988,292.440002,276.390015,288.440002,288.440002,1989500
1/13/2021,288.399994,295.125,286.63501,289.429993,289.429993,1338600
1/14/2021,291.529999,302.459991,289.149994,296.829987,296.829987,1912400
1/15/2021,293.5,295.5,282.01001,287.570007,287.570007,2168500
1/19/2021,290,290.130005,273.660004,275,275,1568000
1/20/2021,276.75,278.399994,267.540009,269.880005,269.880005,1145400
1/21/2021,271,276.809998,267.019989,272.549988,272.549988,1000600
1/22/2021,272.720001,276.869995,268.209015,273.470001,273.470001,981500
1/25/2021,278.230011,284.920013,262.690002,272.809998,272.809998,1366300
1/26/2021,273.5,278.799988,260.799988,261.329987,261.329987,1153400
1/27/2021,257.309998,258.5,235.130005,239.309998,239.309998,3480200
1/28/2021,246.610001,267.799988,246,256.01001,256.01001,2566600
1/29/2021,254,265.459991,246.550003,261.190002,261.190002,1794800
2/1/2021,265.329987,270,255.160004,264.23999,264.23999,1440600
2/2/2021,270,287.660004,266.480011,280.649994,280.649994,1655900
2/3/2021,281.570007,289.170013,273,283.809998,283.809998,1063700
2/4/2021,287.029999,291.059998,278.51001,284.529999,284.529999,1113200
2/5/2021,288,292.399994,279.75,288.149994,288.149994,936600
2/8/2021,288.899994,294.529999,283.119995,288.160004,288.160004,969600
2/9/2021,291.329987,299.869995,282.519989,292.910004,292.910004,1046600
2/10/2021,295.700012,300.589996,286.325012,297.929993,297.929993,945100
2/11/2021,300,300.785004,291.399994,294.339996,294.339996,801300
2/12/2021,294.279999,304.480011,289.940002,296.049988,296.049988,901500
2/16/2021,300.790009,310.799988,293.049988,296.25,296.25,1010600
2/17/2021,291.980011,298.320007,286.151001,295.609985,295.609985,980800
2/18/2021,292.5,300.834991,288,295.399994,295.399994,829200
2/19/2021,295.730011,314.565002,295.730011,308.73999,308.73999,1429500
2/22/2021,304.369995,306.380005,280,281.940002,281.940002,1401400
2/23/2021,272.790009,283.48999,253,280.269989,280.269989,1694400
2/24/2021,283.100006,286.420013,268.464996,284.940002,284.940002,1108400
2/25/2021,281.890015,290.170013,259.320007,263.660004,263.660004,1620800
2/26/2021,278,295.769989,265,283.5,283.5,3312300
3/1/2021,289.119995,312.190002,289.089996,311.920013,311.920013,2522000
3/2/2021,311.920013,323.390015,310.98999,314.839996,314.839996,1669900
3/3/2021,313.5,314.329987,284.765015,288.130005,288.130005,2001300
3/4/2021,282.01001,291.869995,263.910004,269.98999,269.98999,2445300
3/5/2021,273.190002,273.93399,242.5,261.540009,261.540009,2729400
3/8/2021,262.01001,263.765015,240.520004,241.190002,241.190002,2004800
3/9/2021,260.820007,261.98999,252.259995,260.420013,260.420013,1523900
3/10/2021,264.480011,274.079987,257,260.450012,260.450012,1176300
3/11/2021,271.540009,279.54599,264.959991,277.040009,277.040009,1248700
3/12/2021,271.75,288.559998,263.51001,286.690002,286.690002,1335000
3/15/2021,287.970001,288.649994,275.109985,284.459991,284.459991,811700
3/16/2021,289.299988,291.779999,278.209991,283.649994,283.649994,1090900
3/17/2021,278.769989,290.25,272.01001,286.279999,286.279999,1142100
3/18/2021,282,282,261.045013,262.809998,262.809998,1606300
3/19/2021,262.209991,273.682007,260.130005,269.220001,269.220001,1907000
3/22/2021,269.890015,277.869995,266,273.920013,273.920013,1178900
3/23/2021,272.23999,283.98999,272.049988,274.170013,274.170013,1515300
3/24/2021,277.089996,277.179993,252.070007,252.850006,252.850006,1444600
3/25/2021,245.850006,257.98999,240.580002,256.359985,256.359985,2120800
3/26/2021,256.700012,262.359985,249.679993,259,259,1123600
3/29/2021,258.869995,260.881989,244.445007,248.710007,248.710007,1327300
3/30/2021,246,257.079987,243.190002,254.5,254.5,1059700
3/31/2021,261.880005,267.049988,258.179993,262.399994,262.399994,1071800
4/1/2021,266.190002,275.950012,264,265.320007,265.320007,874700
4/5/2021,270.720001,271,259.570007,267.329987,267.329987,710900
4/6/2021,267.540009,281.859985,264.279999,277.600006,277.600006,1294200
4/7/2021,273.109985,276.199005,266.880005,267.299988,267.299988,771100
4/8/2021,268.200012,273.98999,267.440002,271,271,895400
4/9/2021,273.410004,273.410004,265.179993,271.299988,271.299988,739500
4/12/2021,266.350006,270.804993,259.369995,269.279999,269.279999,960700
4/13/2021,272.190002,277.850006,268.079987,276.709991,276.709991,741400
4/14/2021,278,282.179993,268.299988,270.089996,270.089996,1032700
4/15/2021,272.920013,285.959991,269.23999,281.690002,281.690002,1454600
4/16/2021,283.25,283.25,272.25,275.089996,275.089996,806600
4/19/2021,273.859985,279.140015,269.25,276.5,276.5,950700
4/20/2021,276.51001,276.809998,258.679993,262.630005,262.630005,1925600
4/21/2021,258,270.299988,255.009995,268.179993,268.179993,947000
4/22/2021,270.190002,270.350006,258.434998,265.01001,265.01001,1035000
4/23/2021,266.980011,278.01001,260.410004,278.01001,278.01001,1207000
4/26/2021,279.309998,296.329987,278,294.390015,294.390015,2085300
4/27/2021,295.940002,301.160004,291.725006,294.76001,294.76001,755800
4/28/2021,295,298.515015,289.29599,293.48999,293.48999,609600
4/29/2021,294.76001,297,284.01001,288.73999,288.73999,739500
4/30/2021,285.26001,290.170013,282.100006,285.26001,285.26001,715500
5/3/2021,297.429993,297.929993,289,290,290,1270900
5/4/2021,285.75,290.549988,276.589996,289.230011,289.230011,1632100
5/5/2021,293.269989,299.480011,279.25,280.619995,280.619995,1662900
5/6/2021,276.839996,278.345001,258.380005,263.450012,263.450012,3424900
5/7/2021,259,261.970001,246.490005,247.809998,247.809998,3587900
5/10/2021,243.110001,245.869995,236.25,242.179993,242.179993,2617700
5/11/2021,231.729996,245.410004,229.690002,239.190002,239.190002,2323700
5/12/2021,233.429993,234.979996,222.789993,226.539993,226.539993,3114300
5/13/2021,229.669998,233.089996,223.311996,223.869995,223.869995,1943600
5/14/2021,227.300003,239.580002,227.300003,237.529999,237.529999,1097700
5/17/2021,235.029999,238.740005,222,226.559998,226.559998,5600100
5/18/2021,228.279999,230.570007,223.869995,227.350006,227.350006,2317200
5/19/2021,221.065002,232.220001,219.399994,228.149994,228.149994,2199600
5/20/2021,229.720001,243,228.580002,241.710007,241.710007,2103600
5/21/2021,243.820007,247.240005,240.009995,246.419998,246.419998,1479100
5/24/2021,248.860001,259.51001,247.649994,253.800003,253.800003,1541400
5/25/2021,256.809998,263.76001,256.079987,259.799988,259.799988,1765100
5/26/2021,260.380005,262.640015,253.960007,259.130005,259.130005,1104900
5/27/2021,262.5,273,256.5,267.070007,267.070007,2025000
5/28/2021,265.320007,269.529999,264.51001,265.089996,265.089996,926200
6/1/2021,267.26001,275.850006,259.839996,273.140015,273.140015,1399500
6/2/2021,274.5,281.720001,271.309998,278.649994,278.649994,1293700
6/3/2021,274.540009,278.140015,268.904999,273.899994,273.899994,909700
6/4/2021,275,280.01001,272.660004,279.869995,279.869995,776700
6/7/2021,278.440002,281.179993,273.959991,279.850006,279.850006,1153800
6/8/2021,280,280.589996,272.75,276.329987,276.329987,1118900
6/9/2021,275.649994,276.779999,264.070007,264.51001,264.51001,1143000
6/10/2021,264.809998,268.390015,263.744995,266.670013,266.670013,1359000
6/11/2021,268.649994,275,267.061005,274.660004,274.660004,862300
6/14/2021,274.75,279.890015,274.73999,278.690002,278.690002,855800
6/15/2021,277,277.665009,269,273.200012,273.200012,904000
